Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 7/400x400/linear,38.687553140208344,37.30690456216671,40.73348448462498,1.9595099188313059,0.5051676587499685,2.6051539452240813
Matrix Composition 7/400x400/laop,9.250355269479158,9.191986716333304,9.308723822625012,7.118648837661146e-2,2.655557166667677e-2,8.7967744172138e-2
Matrix Composition 8/800x800/hmatrix,2.78943718179166,2.7318828122499497,2.8341738378749994,6.322771063428474e-2,4.406009295190287e-2,7.610691148554842e-2
Matrix Composition 8/800x800/matrix,8.702639218937477,8.68488524293754,8.718362663499875,1.9971204137484478e-2,4.493604180631786e-3,2.5770930364584346e-2
Matrix Composition 8/800x800/linear,334.298254513125,326.90784933112513,338.704233446625,7.38768961577108,2.8431053699999893,10.175172493200071
Matrix Composition 8/800x800/laop,80.78529237041674,75.64304060749998,87.1978957617502,6.694294050399143,2.3226637266666685,9.193540702587292
Matrix Composition 9/1600x1600/hmatrix,32.89345316341636,31.90151558449952,33.79129046583337,1.0865180443528066,0.4051980580474712,1.347989885437624
Matrix Composition 9/1600x1600/matrix,85.75788890512509,82.7031161015002,90.10562921237499,4.111595934378079,9.998710675430011e-2,5.0703316268917815
Matrix Composition 9/1600x1600/linear,3108.308802683917,3042.2788969842914,3151.584349435125,64.25767902426145,31.320043215693147,83.86898427211686
Matrix Composition 9/1600x1600/laop,704.6836888445417,700.0737943933334,709.2935832957501,5.817251300169474,2.782078091728324,7.618408947456
